fichier,map_bg,famille,groupe,position,variante,largeur_px,hauteur_px,frames_anim,tuiles_animees,frame_length,cases_bloquees,type,nom
d03p41a,d03p41a,donjon : abords/salles (Dungeon ground),d03,fond/boss (p4x),a,696,648,1,0,60,0,BG (sans collision),D03P41A
d04p11a,d04p11a,donjon : abords/salles (Dungeon ground),d04,entrée (p1x),a,504,456,3,1119,"10,60",0,BG (sans collision),D04P11A
d04p12a,d04p12a,donjon : abords/salles (Dungeon ground),d04,entrée (p1x),a,408,552,12,126,"10,60",0,BG (sans collision),D04P12A
d04p31a,d04p31a,donjon : abords/salles (Dungeon ground),d04,intermédiaire (p3x),a,504,432,19,635,"10,60",0,BG (sans collision),D04P31A
d05p11a,d05p11a,donjon : abords/salles (Dungeon ground),d05,entrée (p1x),a,552,408,1,0,60,0,BG (sans collision),D05P11A
d05p31a,d05p31a,donjon : abords/salles (Dungeon ground),d05,intermédiaire (p3x),a,552,552,1,0,60,0,BG (sans collision),D05P31A
d06p11a,d06p11a,donjon : abords/salles (Dungeon ground),d06,entrée (p1x),a,552,432,7,262,"10,60",3301,JOUABLE,D06P11A
d07p11a,d07p11a,donjon : abords/salles (Dungeon ground),d07,entrée (p1x),a,552,360,1,0,60,2722,JOUABLE,D07P11A
d08p11a,d08p11a,donjon : abords/salles (Dungeon ground),d08,entrée (p1x),a,600,792,1,0,60,6364,JOUABLE,D08P11A
d09p11a,d09p11a,donjon : abords/salles (Dungeon ground),d09,entrée (p1x),a,504,504,1,0,60,3478,JOUABLE,D09P11A
d10p21a,d10p21a,donjon : abords/salles (Dungeon ground),d10,p21,a,456,456,1,0,60,2376,JOUABLE,D10P21A
d10p41a,d10p41a,donjon : abords/salles (Dungeon ground),d10,fond/boss (p4x),a,648,624,1,0,60,1,JOUABLE,D10P41A
d11p11a,d11p11a,donjon : abords/salles (Dungeon ground),d11,entrée (p1x),a,456,408,1,0,60,0,BG (sans collision),D11P11A
d12p21a,d12p21a,donjon : abords/salles (Dungeon ground),d12,p21,a,456,456,1,0,60,2376,JOUABLE,D12P21A
d12p41a,d12p41a,donjon : abords/salles (Dungeon ground),d12,fond/boss (p4x),a,552,504,1,0,60,0,BG (sans collision),D12P41A
d13p11a,d13p11a,donjon : abords/salles (Dungeon ground),d13,entrée (p1x),a,456,456,1,0,60,0,BG (sans collision),D13P11A
d14p11a,d14p11a,donjon : abords/salles (Dungeon ground),d14,entrée (p1x),a,456,384,6,601,"10,60",0,BG (sans collision),D14P11A
d14p12a,d14p12a,donjon : abords/salles (Dungeon ground),d14,entrée (p1x),a,600,408,4,189,"10,60",0,BG (sans collision),D14P12A
d15p21a,d15p21a,donjon : abords/salles (Dungeon ground),d15,p21,a,456,456,1,0,60,2376,JOUABLE,D15P21A
d15p41a,d15p41a,donjon : abords/salles (Dungeon ground),d15,fond/boss (p4x),a,600,600,23,795,"10,60",0,BG (sans collision),D15P41A
d16p11a,d16p11a,donjon : abords/salles (Dungeon ground),d16,entrée (p1x),a,600,408,17,12,"10,60",3251,JOUABLE,D16P11A
d16p31a,d16p31a,donjon : abords/salles (Dungeon ground),d16,intermédiaire (p3x),a,600,480,12,188,"10,60",3311,JOUABLE,D16P31A
d17p11a,d17p11a,donjon : abords/salles (Dungeon ground),d17,entrée (p1x),a,600,480,12,169,"10,60",0,BG (sans collision),D17P11A
d17p31a,d17p31a,donjon : abords/salles (Dungeon ground),d17,intermédiaire (p3x),a,360,408,4,571,"10,60",0,BG (sans collision),D17P31A
d17p32a,d17p32a,donjon : abords/salles (Dungeon ground),d17,intermédiaire (p3x),a,408,456,4,627,"10,60",0,BG (sans collision),D17P32A
d17p33a,d17p33a,donjon : abords/salles (Dungeon ground),d17,intermédiaire (p3x),a,456,504,6,2114,"10,60",0,BG (sans collision),D17P33A
d17p34a,d17p34a,donjon : abords/salles (Dungeon ground),d17,intermédiaire (p3x),a,696,600,4,3555,"10,60",0,BG (sans collision),D17P34A
d17p45a,d17p45a,donjon : abords/salles (Dungeon ground),d17,fond/boss (p4x),a,696,504,1,0,60,0,BG (sans collision),D17P45A
d18p11a,d18p11a,donjon : abords/salles (Dungeon ground),d18,entrée (p1x),a,600,384,1,0,60,2990,JOUABLE,D18P11A
d19p11a,d19p11a,donjon : abords/salles (Dungeon ground),d19,entrée (p1x),a,768,384,1,0,60,3344,JOUABLE,D19P11A
d20p11a,d20p11a,donjon : abords/salles (Dungeon ground),d20,entrée (p1x),a,600,384,1,0,60,2920,JOUABLE,D20P11A
d21p21a,d21p21a,donjon : abords/salles (Dungeon ground),d21,p21,a,456,456,1,0,60,2376,JOUABLE,D21P21A
d21p41a,d21p41a,donjon : abords/salles (Dungeon ground),d21,fond/boss (p4x),a,648,528,1,0,60,0,BG (sans collision),D21P41A
d22p11a,d22p11a,donjon : abords/salles (Dungeon ground),d22,entrée (p1x),a,552,552,1,0,60,2868,JOUABLE,D22P11A
d23p11a,d23p11a,donjon : abords/salles (Dungeon ground),d23,entrée (p1x),a,552,552,1,0,60,3496,JOUABLE,D23P11A
d24p11a,d24p11a,donjon : abords/salles (Dungeon ground),d24,entrée (p1x),a,504,432,1,0,60,2652,JOUABLE,D24P11A
d24p31a,d24p31a,donjon : abords/salles (Dungeon ground),d24,intermédiaire (p3x),a,504,480,1,0,60,0,BG (sans collision),D24P31A
d24p31b,d24p31b,donjon : abords/salles (Dungeon ground),d24,intermédiaire (p3x),b,504,480,1,0,60,0,BG (sans collision),D24P31B
d25p11a,d25p11a,donjon : abords/salles (Dungeon ground),d25,entrée (p1x),a,648,504,15,1400,"10,60",4155,JOUABLE,D25P11A
d26p21a,d26p21a,donjon : abords/salles (Dungeon ground),d26,p21,a,456,456,1,0,60,2376,JOUABLE,D26P21A
d26p31a,d26p31a,donjon : abords/salles (Dungeon ground),d26,intermédiaire (p3x),a,552,744,3,150,"10,60",0,BG (sans collision),D26P31A
d26p43a,d26p43a,donjon : abords/salles (Dungeon ground),d26,fond/boss (p4x),a,552,744,3,117,"10,60",0,BG (sans collision),D26P43A
d27p11a,d27p11a,donjon : abords/salles (Dungeon ground),d27,entrée (p1x),a,456,552,3,45,"10,60",3403,JOUABLE,D27P11A
d28p21a,d28p21a,donjon : abords/salles (Dungeon ground),d28,p21,a,456,456,1,0,60,2376,JOUABLE,D28P21A
d28p31a,d28p31a,donjon : abords/salles (Dungeon ground),d28,intermédiaire (p3x),a,816,360,1,0,60,0,BG (sans collision),D28P31A
d28p32a,d28p32a,donjon : abords/salles (Dungeon ground),d28,intermédiaire (p3x),a,480,432,1,0,60,0,BG (sans collision),D28P32A
d28p33a,d28p33a,donjon : abords/salles (Dungeon ground),d28,intermédiaire (p3x),a,600,432,1,0,60,0,BG (sans collision),D28P33A
d28p33c,d28p33c,donjon : abords/salles (Dungeon ground),d28,intermédiaire (p3x),c,600,432,1,0,60,0,BG (sans collision),D28P33C
d28p34a,d28p34a,donjon : abords/salles (Dungeon ground),d28,intermédiaire (p3x),a,648,528,1,0,60,0,BG (sans collision),D28P34A
d28p44a,d28p44a,donjon : abords/salles (Dungeon ground),d28,fond/boss (p4x),a,504,528,1,0,60,0,BG (sans collision),D28P44A
d29p11a,d29p11a,donjon : abords/salles (Dungeon ground),d29,entrée (p1x),a,600,552,14,1122,"10,60",4565,JOUABLE,D29P11A
d30p21a,d30p21a,donjon : abords/salles (Dungeon ground),d30,p21,a,456,456,1,0,60,2376,JOUABLE,D30P21A
d30p32a,d30p32a,donjon : abords/salles (Dungeon ground),d30,intermédiaire (p3x),a,552,576,11,69,"10,60",0,BG (sans collision),D30P32A
d30p33a,d30p33a,donjon : abords/salles (Dungeon ground),d30,intermédiaire (p3x),a,552,576,7,64,"10,60",1,JOUABLE,D30P33A
d30p34a,d30p34a,donjon : abords/salles (Dungeon ground),d30,intermédiaire (p3x),a,552,576,7,64,"10,60",0,BG (sans collision),D30P34A
d30p41a,d30p41a,donjon : abords/salles (Dungeon ground),d30,fond/boss (p4x),a,552,576,7,64,"10,60",0,BG (sans collision),D30P41A
d30p42a,d30p42a,donjon : abords/salles (Dungeon ground),d30,fond/boss (p4x),a,552,576,11,65,"10,60",0,BG (sans collision),D30P42A
d31p11a,d31p11a,donjon : abords/salles (Dungeon ground),d31,entrée (p1x),a,600,504,1,0,60,3717,JOUABLE,D31P11A
d31p31a,d31p31a,donjon : abords/salles (Dungeon ground),d31,intermédiaire (p3x),a,456,504,1,0,60,0,BG (sans collision),D31P31A
d31p41a,d31p41a,donjon : abords/salles (Dungeon ground),d31,fond/boss (p4x),a,552,504,1,0,60,0,BG (sans collision),D31P41A
d33p41a,d33p41a,donjon : abords/salles (Dungeon ground),d33,fond/boss (p4x),a,1440,960,1,0,60,0,BG (sans collision),D33P41A
d34p41a,d34p41a,donjon : abords/salles (Dungeon ground),d34,fond/boss (p4x),a,456,456,1,0,60,2466,JOUABLE,D34P41A
d35p21a,d35p21a,donjon : abords/salles (Dungeon ground),d35,p21,a,456,456,1,0,60,2376,JOUABLE,D35P21A
d35p41a,d35p41a,donjon : abords/salles (Dungeon ground),d35,fond/boss (p4x),a,1440,960,1,0,60,0,BG (sans collision),D35P41A
d36p11a,d36p11a,donjon : abords/salles (Dungeon ground),d36,entrée (p1x),a,408,288,1,0,60,0,BG (sans collision),D36P11A
d36p41a,d36p41a,donjon : abords/salles (Dungeon ground),d36,fond/boss (p4x),a,504,480,1,0,60,0,BG (sans collision),D36P41A
d37p11a,d37p11a,donjon : abords/salles (Dungeon ground),d37,entrée (p1x),a,480,480,1,0,60,2106,JOUABLE,D37P11A
d37p41a,d37p41a,donjon : abords/salles (Dungeon ground),d37,fond/boss (p4x),a,456,456,1,0,60,2169,JOUABLE,D37P41A
d38p11a,d38p11a,donjon : abords/salles (Dungeon ground),d38,entrée (p1x),a,480,456,1,0,60,1953,JOUABLE,D38P11A
d38p12a,d38p12a,donjon : abords/salles (Dungeon ground),d38,entrée (p1x),a,456,456,1,0,60,2565,JOUABLE,D38P12A
d39p21a,d39p21a,donjon : abords/salles (Dungeon ground),d39,p21,a,456,456,1,0,60,2376,JOUABLE,D39P21A
d39p32a,d39p32a,donjon : abords/salles (Dungeon ground),d39,intermédiaire (p3x),a,480,480,1,0,60,2988,JOUABLE,D39P32A
d39p41a,d39p41a,donjon : abords/salles (Dungeon ground),d39,fond/boss (p4x),a,1440,960,1,0,60,0,BG (sans collision),D39P41A
d40p11a,d40p11a,donjon : abords/salles (Dungeon ground),d40,entrée (p1x),a,360,456,10,38,"10,60",0,BG (sans collision),D40P11A
d41p21a,d41p21a,donjon : abords/salles (Dungeon ground),d41,p21,a,456,456,1,0,60,2376,JOUABLE,D41P21A
d41p41a,d41p41a,donjon : abords/salles (Dungeon ground),d41,fond/boss (p4x),a,552,576,13,3113,"10,60",0,BG (sans collision),D41P41A
d42p21a,d42p21a,donjon : abords/salles (Dungeon ground),d42,p21,a,456,456,1,0,60,2376,JOUABLE,D42P21A
d42p31a,d42p31a,donjon : abords/salles (Dungeon ground),d42,intermédiaire (p3x),a,1008,504,15,254,"10,60",1,JOUABLE,D42P31A
d42p41a,d42p41a,donjon : abords/salles (Dungeon ground),d42,fond/boss (p4x),a,504,504,15,131,"10,60",7,JOUABLE,D42P41A
d42p42a,d42p42a,donjon : abords/salles (Dungeon ground),d42,fond/boss (p4x),a,504,456,16,101,"10,60",0,BG (sans collision),D42P42A
d43p31a,d43p31a,donjon : abords/salles (Dungeon ground),d43,intermédiaire (p3x),a,408,432,1,0,60,0,BG (sans collision),D43P31A
d44p31a,d44p31a,donjon : abords/salles (Dungeon ground),d44,intermédiaire (p3x),a,912,552,31,126,"10,60",0,BG (sans collision),D44P31A
d45p21a,d45p21a,donjon : abords/salles (Dungeon ground),d45,p21,a,456,456,1,0,60,2376,JOUABLE,D45P21A
d45p31a,d45p31a,donjon : abords/salles (Dungeon ground),d45,intermédiaire (p3x),a,816,408,1,0,60,0,BG (sans collision),D45P31A
d45p42a,d45p42a,donjon : abords/salles (Dungeon ground),d45,fond/boss (p4x),a,504,504,1,0,60,0,BG (sans collision),D45P42A
d46p11a,d46p11a,donjon : abords/salles (Dungeon ground),d46,entrée (p1x),a,456,408,1,0,60,2646,JOUABLE,D46P11A
d46p21a,d46p21a,donjon : abords/salles (Dungeon ground),d46,p21,a,456,456,1,0,60,2376,JOUABLE,D46P21A
d46p31a,d46p31a,donjon : abords/salles (Dungeon ground),d46,intermédiaire (p3x),a,456,504,1,0,60,0,BG (sans collision),D46P31A
d46p41a,d46p41a,donjon : abords/salles (Dungeon ground),d46,fond/boss (p4x),a,456,504,1,0,60,0,BG (sans collision),D46P41A
d47p11a,d47p11a,donjon : abords/salles (Dungeon ground),d47,entrée (p1x),a,456,288,1,0,60,1744,JOUABLE,D47P11A
d48p11a,d48p11a,donjon : abords/salles (Dungeon ground),d48,entrée (p1x),a,600,552,1,0,60,4856,JOUABLE,D48P11A
d48p21a,d48p21a,donjon : abords/salles (Dungeon ground),d48,p21,a,456,456,1,0,60,2376,JOUABLE,D48P21A
d49p41a,d49p41a,donjon : abords/salles (Dungeon ground),d49,fond/boss (p4x),a,456,432,1,0,60,0,BG (sans collision),D49P41A
d50p11a,d50p11a,donjon : abords/salles (Dungeon ground),d50,entrée (p1x),a,504,360,1,0,60,2656,JOUABLE,D50P11A
d51p11a,d51p11a,donjon : abords/salles (Dungeon ground),d51,entrée (p1x),a,504,312,1,0,60,2062,JOUABLE,D51P11A
d51p21a,d51p21a,donjon : abords/salles (Dungeon ground),d51,p21,a,456,456,1,0,60,2376,JOUABLE,D51P21A
d51p41a,d51p41a,donjon : abords/salles (Dungeon ground),d51,fond/boss (p4x),a,504,408,1,0,60,0,BG (sans collision),D51P41A
d52p11a,d52p11a,donjon : abords/salles (Dungeon ground),d52,entrée (p1x),a,504,408,1,0,60,2850,JOUABLE,D52P11A
d52p11c,d52p11c,donjon : abords/salles (Dungeon ground),d52,entrée (p1x),c,504,408,1,0,60,0,BG (sans collision),D52P11C
d52p31a,d52p31a,donjon : abords/salles (Dungeon ground),d52,intermédiaire (p3x),a,504,408,1,0,60,0,BG (sans collision),D52P31A
d52p32a,d52p32a,donjon : abords/salles (Dungeon ground),d52,intermédiaire (p3x),a,504,504,1,0,60,0,BG (sans collision),D52P32A
d53p11a,d53p11a,donjon : abords/salles (Dungeon ground),d53,entrée (p1x),a,504,360,1,0,60,2266,JOUABLE,D53P11A
d53p11b,d53p11b,donjon : abords/salles (Dungeon ground),d53,entrée (p1x),b,504,360,1,0,60,0,BG (sans collision),D53P11B
d53p21a,d53p21a,donjon : abords/salles (Dungeon ground),d53,p21,a,456,456,1,0,60,2376,JOUABLE,D53P21A
d53p41a,d53p41a,donjon : abords/salles (Dungeon ground),d53,fond/boss (p4x),a,504,480,1,0,60,0,BG (sans collision),D53P41A
d53p41b,d53p41b,donjon : abords/salles (Dungeon ground),d53,fond/boss (p4x),b,504,480,31,3780,10,0,BG (sans collision),D53P41B
d53p41c,d53p41c,donjon : abords/salles (Dungeon ground),d53,fond/boss (p4x),c,504,480,1,0,60,0,BG (sans collision),D53P41C
d54p11a,d54p11a,donjon : abords/salles (Dungeon ground),d54,entrée (p1x),a,504,432,1,0,60,2815,JOUABLE,D54P11A
d54p31a,d54p31a,donjon : abords/salles (Dungeon ground),d54,intermédiaire (p3x),a,504,456,1,0,60,0,BG (sans collision),D54P31A
d54p32a,d54p32a,donjon : abords/salles (Dungeon ground),d54,intermédiaire (p3x),a,600,456,1,0,60,0,BG (sans collision),D54P32A
d55p11a,d55p11a,donjon : abords/salles (Dungeon ground),d55,entrée (p1x),a,552,504,1,0,60,3432,JOUABLE,D55P11A
d55p21a,d55p21a,donjon : abords/salles (Dungeon ground),d55,p21,a,456,456,1,0,60,2376,JOUABLE,D55P21A
d55p41a,d55p41a,donjon : abords/salles (Dungeon ground),d55,fond/boss (p4x),a,504,456,1,0,60,0,BG (sans collision),D55P41A
d56p11a,d56p11a,donjon : abords/salles (Dungeon ground),d56,entrée (p1x),a,504,408,1,0,60,2748,JOUABLE,D56P11A
d56p12a,d56p12a,donjon : abords/salles (Dungeon ground),d56,entrée (p1x),a,312,336,13,182,"10,60",0,BG (sans collision),D56P12A
d56p21a,d56p21a,donjon : abords/salles (Dungeon ground),d56,p21,a,456,456,1,0,60,2376,JOUABLE,D56P21A
d56p41a,d56p41a,donjon : abords/salles (Dungeon ground),d56,fond/boss (p4x),a,456,480,6,792,"10,60",0,BG (sans collision),D56P41A
d57p21a,d57p21a,donjon : abords/salles (Dungeon ground),d57,p21,a,456,456,1,0,60,2376,JOUABLE,D57P21A
d57p41a,d57p41a,donjon : abords/salles (Dungeon ground),d57,fond/boss (p4x),a,456,456,1,0,60,0,BG (sans collision),D57P41A
d57p42a,d57p42a,donjon : abords/salles (Dungeon ground),d57,fond/boss (p4x),a,456,528,14,80,"10,60",0,BG (sans collision),D57P42A
d57p43a,d57p43a,donjon : abords/salles (Dungeon ground),d57,fond/boss (p4x),a,912,456,26,828,"10,60",0,BG (sans collision),D57P43A
d57p44a,d57p44a,donjon : abords/salles (Dungeon ground),d57,fond/boss (p4x),a,456,456,26,540,"10,60",0,BG (sans collision),D57P44A
d58p41a,d58p41a,donjon : abords/salles (Dungeon ground),d58,fond/boss (p4x),a,456,456,1,0,60,2493,JOUABLE,D58P41A
d59p41a,d59p41a,donjon : abords/salles (Dungeon ground),d59,fond/boss (p4x),a,456,456,1,0,60,2493,JOUABLE,D59P41A
d60p41a,d60p41a,donjon : abords/salles (Dungeon ground),d60,fond/boss (p4x),a,456,456,1,0,60,2493,JOUABLE,D60P41A
d61p41a,d61p41a,donjon : abords/salles (Dungeon ground),d61,fond/boss (p4x),a,456,456,1,0,60,2493,JOUABLE,D61P41A
d62p41a,d62p41a,donjon : abords/salles (Dungeon ground),d62,fond/boss (p4x),a,456,456,1,0,60,2493,JOUABLE,D62P41A
d63p41a,d63p41a,donjon : abords/salles (Dungeon ground),d63,fond/boss (p4x),a,456,456,1,0,60,2493,JOUABLE,D63P41A
d65p41a,d65p41a,donjon : abords/salles (Dungeon ground),d65,fond/boss (p4x),a,1440,960,1,0,60,0,BG (sans collision),D65P41A
d66p41a,d66p41a,donjon : abords/salles (Dungeon ground),d66,fond/boss (p4x),a,1440,960,1,0,60,0,BG (sans collision),D66P41A
d67p41a,d67p41a,donjon : abords/salles (Dungeon ground),d67,fond/boss (p4x),a,1440,960,1,0,60,0,BG (sans collision),D67P41A
d68p41a,d68p41a,donjon : abords/salles (Dungeon ground),d68,fond/boss (p4x),a,1440,960,1,0,60,0,BG (sans collision),D68P41A
d69p41a,d69p41a,donjon : abords/salles (Dungeon ground),d69,fond/boss (p4x),a,1440,960,1,0,60,0,BG (sans collision),D69P41A
d70p41a,d70p41a,donjon : abords/salles (Dungeon ground),d70,fond/boss (p4x),a,1440,960,1,0,60,0,BG (sans collision),D70P41A
d71p41a,d71p41a,donjon : abords/salles (Dungeon ground),d71,fond/boss (p4x),a,1440,960,1,0,60,8532,JOUABLE,D71P41A
d72p41a,d72p41a,donjon : abords/salles (Dungeon ground),d72,fond/boss (p4x),a,1440,960,1,0,60,0,BG (sans collision),D72P41A
d73p11a,d73p11a,donjon : abords/salles (Dungeon ground),d73,entrée (p1x),a,648,552,3,313,"10,60",4467,JOUABLE,D73P11A
d73p21a,d73p21a,donjon : abords/salles (Dungeon ground),d73,p21,a,456,504,1,0,60,2658,JOUABLE,D73P21A
d73p22a,d73p22a,donjon : abords/salles (Dungeon ground),d73,p22,a,456,504,1,0,60,2664,JOUABLE,D73P22A
d73p23a,d73p23a,donjon : abords/salles (Dungeon ground),d73,p23,a,456,504,1,0,60,2658,JOUABLE,D73P23A
d73p24a,d73p24a,donjon : abords/salles (Dungeon ground),d73,p24,a,456,504,1,0,60,2664,JOUABLE,D73P24A
d73p25a,d73p25a,donjon : abords/salles (Dungeon ground),d73,p25,a,456,456,1,0,60,2394,JOUABLE,D73P25A
d73p26a,d73p26a,donjon : abords/salles (Dungeon ground),d73,p26,a,456,504,1,0,60,2664,JOUABLE,D73P26A
d73p27a,d73p27a,donjon : abords/salles (Dungeon ground),d73,p27,a,456,456,1,0,60,2466,JOUABLE,D73P27A
d73p28a,d73p28a,donjon : abords/salles (Dungeon ground),d73,p28,a,456,504,4,18,"10,60",2824,JOUABLE,D73P28A
d73p29a,d73p29a,donjon : abords/salles (Dungeon ground),d73,p29,a,456,456,1,0,60,2520,JOUABLE,D73P29A
d73p31a,d73p31a,donjon : abords/salles (Dungeon ground),d73,intermédiaire (p3x),a,504,504,3,1185,"10,60",3095,JOUABLE,D73P31A
d73p41a,d73p41a,donjon : abords/salles (Dungeon ground),d73,fond/boss (p4x),a,504,504,5,21,"10,60",0,BG (sans collision),D73P41A
d79p11a,d79p11a,donjon : abords/salles (Dungeon ground),d79,entrée (p1x),a,600,504,1,0,60,3853,JOUABLE,D79P11A
d79p21a,d79p21a,donjon : abords/salles (Dungeon ground),d79,p21,a,456,456,1,0,60,2376,JOUABLE,D79P21A
d79p41a,d79p41a,donjon : abords/salles (Dungeon ground),d79,fond/boss (p4x),a,1440,960,1,0,60,0,BG (sans collision),D79P41A
d80p41a,d80p41a,donjon : abords/salles (Dungeon ground),d80,fond/boss (p4x),a,1440,960,1,0,60,0,BG (sans collision),D80P41A
d81p41a,d81p41a,donjon : abords/salles (Dungeon ground),d81,fond/boss (p4x),a,456,456,1,0,60,2250,JOUABLE,D81P41A
d82p41a,d82p41a,donjon : abords/salles (Dungeon ground),d82,fond/boss (p4x),a,456,456,1,0,60,2493,JOUABLE,D82P41A
d83p41a,d83p41a,donjon : abords/salles (Dungeon ground),d83,fond/boss (p4x),a,456,456,1,0,60,2385,JOUABLE,D83P41A
d84p41a,d84p41a,donjon : abords/salles (Dungeon ground),d84,fond/boss (p4x),a,456,456,1,0,60,2466,JOUABLE,D84P41A
d85p41a,d85p41a,donjon : abords/salles (Dungeon ground),d85,fond/boss (p4x),a,456,456,1,0,60,2493,JOUABLE,D85P41A
d86p41a,d86p41a,donjon : abords/salles (Dungeon ground),d86,fond/boss (p4x),a,456,456,1,0,60,2475,JOUABLE,D86P41A
d87p41a,d87p41a,donjon : abords/salles (Dungeon ground),d87,fond/boss (p4x),a,456,456,1,0,60,2493,JOUABLE,D87P41A
d88p41a,d88p41a,donjon : abords/salles (Dungeon ground),d88,fond/boss (p4x),a,456,456,1,0,60,2511,JOUABLE,D88P41A
d89p41a,d89p41a,donjon : abords/salles (Dungeon ground),d89,fond/boss (p4x),a,456,456,1,0,60,2466,JOUABLE,D89P41A
d90p41a,d90p41a,donjon : abords/salles (Dungeon ground),d90,fond/boss (p4x),a,456,456,1,0,60,2403,JOUABLE,D90P41A
d91p41a,d91p41a,donjon : abords/salles (Dungeon ground),d91,fond/boss (p4x),a,720,480,1,0,60,2467,JOUABLE,D91P41A
d92p41a,d92p41a,donjon : abords/salles (Dungeon ground),d92,fond/boss (p4x),a,720,480,1,0,60,2466,JOUABLE,D92P41A
d93p41a,d93p41a,donjon : abords/salles (Dungeon ground),d93,fond/boss (p4x),a,720,480,1,0,60,2466,JOUABLE,D93P41A
d94p41a,d94p41a,donjon : abords/salles (Dungeon ground),d94,fond/boss (p4x),a,720,480,1,0,60,2466,JOUABLE,D94P41A
d95p41a,d95p41a,donjon : abords/salles (Dungeon ground),d95,fond/boss (p4x),a,720,480,1,0,60,2466,JOUABLE,D95P41A
g01p01a,g01p01a,guilde (Guild),g01,,a,480,408,4,42,"10,60",2761,JOUABLE,G01P01A
g01p01b,g01p01b,guilde (Guild),g01,,b,480,408,4,142,"10,60",2762,JOUABLE,G01P01B
g01p01c,g01p01c,guilde (Guild),g01,,c,480,408,4,286,"10,60",2762,JOUABLE,G01P01C
g01p02a,g01p02a,guilde (Guild),g01,,a,408,312,1,0,60,1866,JOUABLE,G01P02A
g01p03a,g01p03a,guilde (Guild),g01,,a,696,456,1,0,60,4271,JOUABLE,G01P03A
g01p04a,g01p04a,guilde (Guild),g01,,a,648,432,1,0,60,3385,JOUABLE,G01P04A
g01p04c,g01p04c,guilde (Guild),g01,,c,648,432,1,0,60,3378,JOUABLE,G01P04C
g01p05a,g01p05a,guilde (Guild),g01,,a,408,384,1,0,60,2073,JOUABLE,G01P05A
g01p05c,g01p05c,guilde (Guild),g01,,c,408,384,4,40,"10,60",2067,JOUABLE,G01P05C
g01p06a,g01p06a,guilde (Guild),g01,,a,504,360,4,17,"10,60",2529,JOUABLE,G01P06A
g01p06b,g01p06b,guilde (Guild),g01,,b,504,360,4,17,"10,60",2529,JOUABLE,G01P06B
